Name,Query,TransfermarktId
Riyad Mahrez,riyad-mahrez,171424
Agustín Orión,agustin-orion,19988
Rubens Sambueza,rubens-sambueza,26268
Rui Patrício,rui-patricio,45026
Sinan Gümüş,sinan-gumus,196524
Lorenzo Insigne,lorenzo-insigne,133964
Guilherme,guilherme,54160
Luis Quiñones,luis-quinones,227404
Yannick Gerhardt,yannick-gerhardt,119277
Andrea Petagna,andrea-petagna,199258
Mauro Icardi,mauro-icardi,68863
Luca Marrone,luca-marrone,124769
Masaaki Higashiguchi,masaaki-higashiguchi,113712
Charles Kaboré,charles-kabore,57402
Dominique Heintz,dominique-heintz,110036
Hatem Ben Arfa,hatem-ben-arfa,18900
Matías Zaldivia,matias-zaldivia,168259
Marvin Compper,marvin-compper,9340
Lewis Dunk,lewis-dunk,148153
Raphael Martinho,raphael-martinho,149946
Juanpe,juanpe,115333
Lucas Zelarayán,lucas-zelarayan,230030
Claudio Pizarro,claudio-pizarro,532
Maxwell,maxwell,4317
Pierrick Capelle,pierrick-capelle,214532
Youri Tielemans,youri-tielemans,249565
Gustavo Cabral,gustavo-cabral,30677
Baiano,baiano,77752
Milton Caraglio,milton-caraglio,55156
Marlos,marlos,68778
Dimitrios Siovas,dimitrios-siovas,52403
Sergio Rico,sergio-rico,207302
Pablo Piatti,pablo-piatti,56067
Yussuf Poulsen,yussuf-poulsen,157635
Valentin Rongier,valentin-rongier,332889
Pierre Webó,pierre-webo,16589
Denis Cheryshev,denis-cheryshev,98322
Renan Bressan,renan-bressan,66008
Paolo Cannavaro,paolo-cannavaro,5858
Yann Sommer,yann-sommer,42205
Daniel Carriço,daniel-carrico,37712
Kyle Naughton,kyle-naughton,66219
Joaquín,joaquin,7663
Kyle Walker,kyle-walker,95424
Marcelo Brozović,marcelo-brozovic,156617
Yimmi Chará,yimmi-chara,165361
Denys Boyko,denys-boyko,91931
Jérôme Gondorf,jerome-gondorf,77108
Christoph Moritz,christoph-moritz,55519
Ali Adnan,ali-adnan,261611
Jorge Meré,jorge-mere,286779
Sébastien Haller,sebastien-haller,181375
David Villa,david-villa,7980
Andrea Barzagli,andrea-barzagli,7109
Fernando Navarro,fernando-navarro,7593
Adrien Regattin,adrien-regattin,126796
Caner Erkin,caner-erkin,39333
Neymar,neymar,68290
Jermaine Jones,jermaine-jones,1321
Daine Klate,daine-klate,108597
Bernardo Espinosa,bernardo-espinosa,64598
Claudio Yacob,claudio-yacob,45330
Coke,coke,71905
Ryan Gauld,ryan-gauld,193081
Sofiane Feghouli,sofiane-feghouli,57162
Artur Yusupov,artur-yusupov,97541
Jesús Molina,jesus-molina,58591
Osmar,osmar,89370
Bradley Wright-Phillips,bradley-wright-phillips,28813
Christian Pulisic,christian-pulisic,315779
Florian Thauvin,florian-thauvin,184892
Luigi Sepe,luigi-sepe,99254
Maicon,maicon,18301
Soldado,soldado,1325351
Rémy Cabella,remy-cabella,113707
Benjamin Henrichs,benjamin-henrichs,202591
Dominic Maroh,dominic-maroh,41023
Adrien Rabiot,adrien-rabiot,182913
Fran Rico,fran-rico,63689
Christian Gentner,christian-gentner,19112
Karim Ansarifard,karim-ansarifard,133838
Rolando,rolando,27300
Andrew Surman,andrew-surman,29975
Raúl Jiménez,raul-jimenez,206040
Kasper Dolberg,kasper-dolberg,283196
Diego Godín,diego-godin,54928
Santi Cazorla,santi-cazorla,15799
Shkodran Mustafi,shkodran-mustafi,88590
Fidel Martínez,fidel-martinez,75612
Rubén Peña,ruben-pena,238868
Carlos Sánchez,carlos-sanchez,7509
Anthony Limbombe,anthony-limbombe,140803
Shane Duffy,shane-duffy,119269
Jorginho,jorginho,102017
Marc Roca,marc-roca,336869
Raúl Albiol,raul-albiol,15452
Laurent Ciman,laurent-ciman,22338
Jefferson Montero,jefferson-montero,77932
Gabriel,gabriel,50703
Connor Wickham,connor-wickham,95435
Simone Zaza,simone-zaza,96828
Michael Keane,michael-keane,118534
Sven Kums,sven-kums,42735
José Pedro Fuenzalida,jose-pedro-fuenzalida,72602
Fernando,fernando,51174
Matthias Ostrzolek,matthias-ostrzolek,53669
Felipe,felipe,156501
Dante,dante,16136
Franck Ribéry,franck-ribery,22068
Daniel Wass,daniel-wass,63463
Nicolás Otamendi,nicolas-otamendi,54781
Luciano Abecasis,luciano-abecasis,149435
Rémy Vercoutre,remy-vercoutre,5338
Moussa Sissoko,moussa-sissoko,46001
Shay Given,shay-given,3146
Ricardo Álvarez,ricardo-alvarez,76077
Bogdan Butko,bogdan-butko,94922
Darío Benedetto,dario-benedetto,92693
Keisuke Honda,keisuke-honda,66521
Daniele Baselli,daniele-baselli,134883
Sylvain Marveaux,sylvain-marveaux,39909
Óscar Murillo,oscar-murillo,77176
Santiago Gentiletti,santiago-gentiletti,30782
Silvio Proto,silvio-proto,12518
Cristian Campestrini,cristian-campestrini,76908
Sergio Sánchez,sergio-sanchez,38270
Diego Ângelo,diego-angelo,59333
Walid Mesloub,walid-mesloub,98315
Cristian Ansaldi,cristian-ansaldi,55854
Cani,cani,7983
Floyd Ayité,floyd-ayite,77974
Andrés Guardado,andres-guardado,20506
Martin Harnik,martin-harnik,31159
Alassane Pléa,alassane-plea,167329
Frederico Venâncio,frederico-venancio,169681
Fayçal Fajr,faycal-fajr,174344
Steven Davis,steven-davis,28973
Jordan Lukaku,jordan-lukaku,140804
Rodrigo Palacio,rodrigo-palacio,39099
Maya Yoshida,maya-yoshida,81789
Aminu Umar,aminu-umar,262688
Sidney Sam,sidney-sam,39102
Lamine Sané,lamine-sane,93758
Toché,toche,22586
Joe Allen,joe-allen,51452
Ali Çamdalı,ali-camdali,9339
Oleg Shatov,oleg-shatov,59187
Ben Davies,ben-davies,192765
Guido Pizarro,guido-pizarro,105899
Romain Hamouma,romain-hamouma,98349
Antoine Griezmann,antoine-griezmann,125781
Maximiliano Pereira,maximiliano-pereira,57834
Cristian Riveros,cristian-riveros,37713
Giacomo Bonaventura,giacomo-bonaventura,57280
Tarik Elyounoussi,tarik-elyounoussi,37287
Gabriele Angella,gabriele-angella,86793
Stewart Downing,stewart-downing,4063
Maciej Rybus,maciej-rybus,59597
Jeff Hendrick,jeff-hendrick,148262
Dwight Gayle,dwight-gayle,196522
Wahbi Khazri,wahbi-khazri,103565
Iago Aspas,iago-aspas,72047
Takashi Inui,takashi-inui,98249
Okay Yokuşlu,okay-yokuslu,137616
Onur Kıvrak,onur-kivrak,56747
Ricardo Centurión,ricardo-centurion,230058
Sergi Darder,sergi-darder,142021
Tunay Torun,tunay-torun,39247
Daniel Sturridge,daniel-sturridge,47082
Morgan De Sanctis,morgan-de-sanctis,5880
Jérôme Boateng,jerome-boateng,26485
Franck Béria,franck-beria,12096
Costel Pantilimon,costel-pantilimon,47659
Roman Shishkin,roman-shishkin,28937
Per Ciljan Skjelbred,per-ciljan-skjelbred,18918
Marko Livaja,marko-livaja,95438
Danilo,danilo,145707
Matthias Ginter,matthias-ginter,124502
Renaud Cohade,renaud-cohade,18955
Ramiro Funes Mori,ramiro-funes-mori,11111
Eden Hazard,eden-hazard,50202
Jannik Vestergaard,jannik-vestergaard,99331
James Morrison,james-morrison,27614
Pedro Santos,pedro-santos,131163
Alex McCarthy,alex-mccarthy,95976
Jesse Lingard,jesse-lingard,141660
Jermaine Pennant,jermaine-pennant,3195
Mark Noble,mark-noble,31835
Cyle Larin,cyle-larin,343463
Mehdi Carcela-González,mehdi-carcela-gonzalez,42714
Jefferson Farfán,jefferson-farfan,16649
Sam Byram,sam-byram,236953
Cheick Diabaté,cheick-diabate,78082
Marco Reus,marco-reus,35207
Mohamed Diamé,mohamed-diame,70950
Júnior Caiçara,junior-caicara,112062
Diego Churín,diego-churin,68747
Roque Mesa,roque-mesa,202984
Xandão,xandao,100009
Simon Falette,simon-falette,170927
Islam Slimani,islam-slimani,174915
Roman Bürki,roman-burki,59027
Diego Perotti,diego-perotti,54984
Arouna Koné,arouna-kone,8552
Ivelin Popov,ivelin-popov,38340
Benoît Costil,benoit-costil,22628
Ezequiel Lavezzi,ezequiel-lavezzi,50570
Goran Pandev,goran-pandev,12563
Sebastián Coates,sebastian-coates,102427
Willian José,willian-jose,122155
Oscar,oscar,85314
Zainadine,zainadine,137192
Daniele Bonera,daniele-bonera,5856
Jermain Defoe,jermain-defoe,3875
Manu Trigueros,manu-trigueros,188854
Héctor Canteros,hector-canteros,96255
Idrissa Gueye,idrissa-gueye,126665
Mário Rui,mario-rui,87884
Damien Delaney,damien-delaney,36861
Piotr Zieliński,piotr-zielinski,181136
Marco Fabián,marco-fabian,67685
Kevin De Bruyne,kevin-de-bruyne,88755
Eliseu,eliseu,14192
Niklas Süle,niklas-sule,166601
Hernán Pérez,hernan-perez,73636
Bruno Peres,bruno-peres,148751
Martín Mantovani,martin-mantovani,73180
Jonny Evans,jonny-evans,42412
Alessandro Gazzi,alessandro-gazzi,28827
Franco Vázquez,franco-vazquez,76163
Raúl Navas,raul-navas,142419
Samuel Umtiti,samuel-umtiti,126540
Bibras Natcho,bibras-natcho,56976
Steeve Elana,steeve-elana,17348
Benoît Trémoulinas,benoit-tremoulinas,43264
Daniele Gastaldello,daniele-gastaldello,7096
Willian,willian,52769
Theo Hernández,theo-hernandez,339808
Vincent Aboubakar,vincent-aboubakar,147487
João Pereira,joao-pereira,13217
Denis Glushakov,denis-glushakov,55336
Sergio Floccari,sergio-floccari,30638
Thibaut Courtois,thibaut-courtois,108390
Romain Thomas,romain-thomas,57467
Marco Borriello,marco-borriello,5825
Lucian Sânmărtean,lucian-sanmartean,9733
Kévin Malcuit,kevin-malcuit,126711
Bruno Fornaroli,bruno-fornaroli,72651
Mats Hummels,mats-hummels,39728
Jonathan Walters,jonathan-walters,3306
Manuel Schmiedebach,manuel-schmiedebach,41507
Carlos Zambrano,carlos-zambrano,53533
Scott Dann,scott-dann,62688
Jonathan Tah,jonathan-tah,196357
Kolo Touré,kolo-toure,3202
Thomas Vermaelen,thomas-vermaelen,15904
Slobodan Rajković,slobodan-rajkovic,35934
James Tomkins,james-tomkins,61592
Yonathan Del Valle,yonathan-del-valle,72643
Ibrahima Traoré,ibrahima-traore,47285
Nacho Fernández,nacho-fernandez,58884
Sibusiso Vilakazi,sibusiso-vilakazi,129335
Leonardo Ulloa,leonardo-ulloa,54890
Oriol Romeu,oriol-romeu,66100
Joselu,joselu,81999
Daley Blind,daley-blind,12282
Lucas Deaux,lucas-deaux,57372
Roberto Inglese,roberto-inglese,159337
Mame Diouf,mame-diouf,62049
Morgan Sanson,morgan-sanson,174094
Sergi Enrich,sergi-enrich,81988
Fabián Orellana,fabian-orellana,60890
Idriss Saadi,idriss-saadi,111057
Lukas Rupp,lukas-rupp,82863
Karim Benzema,karim-benzema,18922
Mikel Villanueva,mikel-villanueva,308371
Cristian Gamboa,cristian-gamboa,121686
Leonardo Spinazzola,leonardo-spinazzola,118689
Yann M'Vila,yann-mvila,60573
Quincy Promes,quincy-promes,182381
Denis Suárez,denis-suarez,165007
Matías Alustiza,matias-alustiza,64843
Kei Kamara,kei-kamara,39049
Nadiem Amiri,nadiem-amiri,232454
Leonardo Jara,leonardo-jara,116163
Brad Guzan,brad-guzan,39471
Gökdeniz Karadeniz,gokdeniz-karadeniz,6871
Victor Ayala,victor-ayala,570723
Rodrigo Mora,rodrigo-mora,76718
Ozan Tufan,ozan-tufan,236471
Gary Hooper,gary-hooper,42513
Jesús Méndez,jesus-mendez,26247
Danny Latza,danny-latza,39025
Alexandru Chipciu,alexandru-chipciu,64126
Lee Cattermole,lee-cattermole,37363
Edinson Cavani,edinson-cavani,48280
Caio,caio,27410
Max Kruse,max-kruse,36182
Florian Lejeune,florian-lejeune,127108
Marc-André ter Stegen,marc-andre-ter-stegen,74857
Moussa Marega,moussa-marega,283130
Fabio Borini,fabio-borini,96754
Jimmy Cabot,jimmy-cabot,206912
Rafinha,rafinha,129473
Tendai Ndoro,tendai-ndoro,287938
Jaroslav Drobný,jaroslav-drobny,12864
Mariano Barbosa,mariano-barbosa,30749
Sebastian Larsson,sebastian-larsson,31720
Arda Turan,arda-turan,21369
Jeremain Lens,jeremain-lens,38497
Jack Rodwell,jack-rodwell,57079
Alex Martínez,alex-martinez,293220
Simon Deli,simon-deli,234124
Demba Ba,demba-ba,40205
Matías Suárez,matias-suarez,66660
Ximo Navarro,ximo-navarro,184767
Nathan Aké,nathan-ake,177476
Stefanos Kapino,stefanos-kapino,68410
Leon Britton,leon-britton,40043
Benjamin van Leer,benjamin-van-leer,123520
Robert Snodgrass,robert-snodgrass,22614
Álvaro Pereira,alvaro-pereira,54859
Lucas Villafañez,lucas-villafanez,125918
Andrey Semenov,andrey-semenov,105478
Paulinho,paulinho,57229
Alfonso Pedraza,alfonso-pedraza,356197
Gonzalo Jara,gonzalo-jara,40429
Cenk Tosun,cenk-tosun,45671
Antonio Rüdiger,antonio-rudiger,86202
Martin Olsson,martin-olsson,38073
Eren Albayrak,eren-albayrak,59931
Sabin Merino,sabin-merino,192736
Aaron Mooy,aaron-mooy,123951
Igor Smolnikov,igor-smolnikov,46635
Guillaume Hoarau,guillaume-hoarau,23934
André Carrillo,andre-carrillo,135057
Jason Puncheon,jason-puncheon,47995
Danny,danny,14119
Iliass Bel Hassani,iliass-bel-hassani,160431
Víctor Díaz,victor-diaz,58330
Baptiste Reynet,baptiste-reynet,190786
Tom Cairney,tom-cairney,123275
Juan Martínez,juan-martinez,562841
Layvin Kurzawa,layvin-kurzawa,126710
Mitchell Langerak,mitchell-langerak,49347
Gabriel Torje,gabriel-torje,47184
Rasmus Thelander,rasmus-thelander,129092
Castro,castro,58267
Florian Niederlechner,florian-niederlechner,152963
Hiroki Sakai,hiroki-sakai,83002
Guillermo Sara,guillermo-sara,87409
Marcos Acuña,marcos-acuna,60410
Maxwel Cornet,maxwel-cornet,234781
Kerim Frei,kerim-frei,146844
Benjamin Hübner,benjamin-hubner,52348
Fanendo Adi,fanendo-adi,79654
André André,andre-andre,63837
Avraam Papadopoulos,avraam-papadopoulos,12979
Xabi Prieto,xabi-prieto,15693
Aleksandar Mitrović,aleksandar-mitrovic,51152
Felix Wiedwald,felix-wiedwald,44594
Shinji Kagawa,shinji-kagawa,81785
Pedro Gallese,pedro-gallese,95172
Shaun Maloney,shaun-maloney,9508
Martin Linnes,martin-linnes,137582
Paul Baysse,paul-baysse,43256
Kenneth Vermeer,kenneth-vermeer,30290
Facundo Roncaglia,facundo-roncaglia,61546
Jesús Navas,jesus-navas,15956
Sami Khedira,sami-khedira,29401
Rúben Vezo,ruben-vezo,257851
Nabil Bentaleb,nabil-bentaleb,245537
Cheikh N'Doye,cheikh-ndoye,282058
Neto,neto,111819
Fransérgio,fransergio,111828
Bryan Ruíz,bryan-ruiz,411225
Faouzi Ghoulam,faouzi-ghoulam,126656
Anthony Modeste,anthony-modeste,50512
Mattia Perin,mattia-perin,110923
Fernandão,fernandao,83886
Stefan Mitrović,stefan-mitrovic,726526
Kenny Tete,kenny-tete,206746
Timmy Simons,timmy-simons,3441
Jacopo Sala,jacopo-sala,96806
Yvon Mvogo,yvon-mvogo,147051
Abdoulay Konko,abdoulay-konko,22139
Essaïd Belkalem,essaid-belkalem,162395
Fernando Belluschi,fernando-belluschi,26460
Benedikt Höwedes,benedikt-howedes,39020
Patrik Schick,patrik-schick,242086
Gabriel Jesus,gabriel-jesus,363205
Lewis Baker,lewis-baker,198589
Javi Varas,javi-varas,58341
Shinzo Koroki,shinzo-koroki,82988
Rémy Riou,remy-riou,18940
Antonio Mirante,antonio-mirante,22141
Guido Carrillo,guido-carrillo,184672
Adam Lallana,adam-lallana,43530
Antonio Sanabria,antonio-sanabria,234523
Pedrinho,pedrinho,515208
Víctor García,victor-garcia,195762
Kyriakos Papadopoulos,kyriakos-papadopoulos,58489
Nemanja Radoja,nemanja-radoja,168959
Sergey Petrov,sergey-petrov,102581
Tom Huddlestone,tom-huddlestone,13465
İlkay Gündoğan,ilkay-gundogan,53622
Marc Janko,marc-janko,8073
Marvin Matip,marvin-matip,17025
Jonas Martin,jonas-martin,127142
Germán Pezzella,german-pezzella,113133
Ralf Fährmann,ralf-fahrmann,39015
Halil Altıntop,halil-altintop,1791
Fabio Quagliarella,fabio-quagliarella,22328
Miha Mevlja,miha-mevlja,100160
Yacine Brahimi,yacine-brahimi,60517
Anthony Lopes,anthony-lopes,60561
Pontus Wernbloom,pontus-wernbloom,36688
Masato Morishige,masato-morishige,81786
Giovani Lo Celso,giovani-lo-celso,348795
Ryan Mason,ryan-mason,61834
Dorlan Pabón,dorlan-pabon,74667
René Adler,rene-adler,1784
Paulo Oliveira,paulo-oliveira,139336
Kevin Strootman,kevin-strootman,68864
Igor Akinfeev,igor-akinfeev,15570
Bobô,bobo,37944
Moussa Dembélé,moussa-dembele,229004
Bamba Anderson,bamba-anderson,78553
Diego González,diego-gonzalez,54578
Nathaniel Clyne,nathaniel-clyne,85177
Boukary Dramé,boukary-drame,33442
Alfredo Talavera,alfredo-talavera,50965
Valon Behrami,valon-behrami,21905
Toby Alderweireld,toby-alderweireld,42710
Justo Villar,justo-villar,38811
Antonio Rukavina,antonio-rukavina,27924
Antonio Di Gaudio,antonio-di-gaudio,165722
Sérgio Oliveira,sergio-oliveira,112465
Darron Gibson,darron-gibson,42413
Recio,recio,150948
Emre Can,emre-can,119296
Luca Rigoni,luca-rigoni,22210
Mario Götze,mario-gotze,74842
Volkan Demirel,volkan-demirel,7079
Mbaye Leye,mbaye-leye,45161
Danilo Avelar,danilo-avelar,140748
Adrien Thomasson,adrien-thomasson,215977
Renat Yanbaev,renat-yanbaev,48583
Shinji Okazaki,shinji-okazaki,79642
Vincent Koziello,vincent-koziello,290551
Matías Delgado,matias-delgado,8886
Pedro Henrique,pedro-henrique,164015
Genki Haraguchi,genki-haraguchi,79377
Ibrahim Afellay,ibrahim-afellay,15760
Yura Movsisyan,yura-movsisyan,39280
Erik Johansson,erik-johansson,23641
Nicolás Spolli,nicolas-spolli,51186
Kamil Glik,kamil-glik,46552
Koffi Djidji,koffi-djidji,183031
Joe Ledley,joe-ledley,34409
Alexander Schwolow,alexander-schwolow,93763
Matías Silvestre,matias-silvestre,20003
Ricardo van Rhijn,ricardo-van-rhijn,124883
Pablo Sarabia,pablo-sarabia,74230
Paul Pogba,paul-pogba,122153
Santiago Arias,santiago-arias,120443
Martín Campaña,martin-campana,91755
David García,david-garcia,298589
Jack Wilshere,jack-wilshere,74223
Jordan Henderson,jordan-henderson,61651
Rafael Tolói,rafael-toloi,72441
Joãozinho,joaozinho,73783
Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,143424
Oleksandr Zinchenko,oleksandr-zinchenko,203853
Alexandre Song,alexandre-song,1164101
Willy Boly,willy-boly,142310
Perparim Hetemaj,perparim-hetemaj,37295
Leigh Griffiths,leigh-griffiths,45611
Mathias Jørgensen,mathias-jorgensen,542796
Jean-Philippe Gbamin,jean-philippe-gbamin,182894
Philipp Wollscheid,philipp-wollscheid,53173
Serge Gakpé,serge-gakpe,36293
Danny Rose,danny-rose,50174
Germán Conti,german-conti,284321
Jordan Adéoti,jordan-adeoti,228891
Beto,beto,35242
Beram Kayal,beram-kayal,44741
Sven van Beek,sven-van-beek,256718
Ilya Maksimov,ilya-maksimov,24654
Benjamin Moukandjo,benjamin-moukandjo,59957
Kevin Trapp,kevin-trapp,45672
Andriy Pyatov,andriy-pyatov,39996
Enes Ünal,enes-unal,251106
Danilo,danilo,145707
Phil Jagielka,phil-jagielka,13520
Josué,josue,52910
Jérémy Toulalan,jeremy-toulalan,5513
Riza Durmisi,riza-durmisi,135208
Marc Schnatterer,marc-schnatterer,18684
Jonas Olsson,jonas-olsson,25248
Fabián Sambueza,fabian-sambueza,358015
Marco Storari,marco-storari,19136
Dmitriy Tarasov,dmitriy-tarasov,48560
Bastian Oczipka,bastian-oczipka,53437
Nedum Onuoha,nedum-onuoha,28810
Ibrahima Baldé,ibrahima-balde,776059
Selçuk Şahin,selcuk-sahin,7025
Marvin Bakalorz,marvin-bakalorz,53602
Admir Mehmedi,admir-mehmedi,66058
Luisão,luisao,13230
Luíz Carlos,luiz-carlos,129670
Alessandro Diamanti,alessandro-diamanti,23197
Douglas Costa,douglas-costa,75615
Dentinho,dentinho,52787
Tony Jantschke,tony-jantschke,47587
Junya Tanaka,junya-tanaka,123252
Clément Grenier,clement-grenier,72479
Vincent Pajot,vincent-pajot,126699
Robin van Persie,robin-van-persie,4380
José Sand,jose-sand,26269
Nicolás Lodeiro,nicolas-lodeiro,72653
Timofey Kalachev,timofey-kalachev,44318
Frank Fabra,frank-fabra,156561
Maxime Poundjé,maxime-poundje,126528
Takashi Usami,takashi-usami,111881
Jonjo Shelvey,jonjo-shelvey,71292
Jefferson Duque,jefferson-duque,77286
Giannelli Imbula,giannelli-imbula,130756
Idrissa Sylla,idrissa-sylla,110000
Amato Ciciretti,amato-ciciretti,159902
Zakaria Bakkali,zakaria-bakkali,203378
Deniz Türüç,deniz-turuc,216662
Filip Kostić,filip-kostic,161011
Carlos Sánchez,carlos-sanchez,7509
Christoph Kramer,christoph-kramer,82097
Mohamed Elneny,mohamed-elneny,160438
Juan Caicedo,juan-caicedo,738308
Renato Civelli,renato-civelli,30757
Oupa Manyisa,oupa-manyisa,75798
Andrea Ranocchia,andrea-ranocchia,44327
Jonathan Estrada,jonathan-estrada,499296
David García,david-garcia,298589
Aymeric Laporte,aymeric-laporte,176553
Mounir Obbadi,mounir-obbadi,29311
Fernando Amorebieta,fernando-amorebieta,35548
Yuriy Zhirkov,yuriy-zhirkov,16760
Diego Rolán,diego-rolan,193938
Malcom,malcom,323704
André Pinto,andre-pinto,58923
Alex Sandro,alex-sandro,79960
Louis Schaub,louis-schaub,147485
Jeison Murillo,jeison-murillo,131102
Trent Sainsbury,trent-sainsbury,145840
Jonathas,jonathas,58345
Kuca,kuca,167216
Gareth Barry,gareth-barry,3291
Zé Luís,ze-luis,134602
Rick Karsdorp,rick-karsdorp,205006
Joey Barton,joey-barton,3292
Nicolas Pallois,nicolas-pallois,139279
Juan Pablo Añor,juan-pablo-anor,256680
Soslan Dzhanaev,soslan-dzhanaev,59209
Rúben Semedo,ruben-semedo,197602
Kiko Olivas,kiko-olivas,51667
Alan Kasaev,alan-kasaev,36212
Carlos Soler,carlos-soler,372246
Niklas Moisander,niklas-moisander,5017
Miguel Silva,miguel-silva,336756
Tito,tito,128295
Mario Mandžukić,mario-mandzukic,34572
Matheus Pereira,matheus-pereira,225984
Marco Andreolli,marco-andreolli,36356
Rafa,rafa,238055
Michael Krohn-Dehli,michael-krohn-dehli,18006
Gonzalo Martínez,gonzalo-martinez,281405
Filipe Luís,filipe-luis,21725
Davide Astori,davide-astori,87210
Hugo Ayala,hugo-ayala,52965
Angelo Ogbonna,angelo-ogbonna,48002
André Horta,andre-horta,329722
Alper Potuk,alper-potuk,99186
Aarón Martín,aaron-martin,251878
Diego Farías,diego-farias,870226
Juan Villar,juan-villar,85500
Magaye Gueye,magaye-gueye,91956
Jonathan Gómez,jonathan-gomez,674501
Igor Denisov,igor-denisov,15650
Marcus Berg,marcus-berg,30418
Calum Chambers,calum-chambers,215118
Andreas Christensen,andreas-christensen,196948
Shane Long,shane-long,37304
Bertrand Traoré,bertrand-traore,131996
Willy Caballero,willy-caballero,19948
Marco Höger,marco-hoger,55510
Mahmoud Dahoud,mahmoud-dahoud,191422
Iñigo Martínez,inigo-martinez,158863
Michael Arroyo,michael-arroyo,45874
Anthony Mounier,anthony-mounier,57110
Florian Kainz,florian-kainz,106270
Aleksandar Kolarov,aleksandar-kolarov,46156
Marcel Risse,marcel-risse,51176
Roberto Soriano,roberto-soriano,63186
Joaquín Correa,joaquin-correa,227081
Konstantinos Stafylidis,konstantinos-stafylidis,148967
Malang Sarr,malang-sarr,344596
Aiden McGeady,aiden-mcgeady,21333
Mauro Matos,mauro-matos,80241
Samu Castillejo,samu-castillejo,195171
André Onana,andre-onana,234509
Matteo Darmian,matteo-darmian,54906
Orestis Karnezis,orestis-karnezis,16408
Diego Costa,diego-costa,44779
Matteo Politano,matteo-politano,165895
Fabrizio Cacciatore,fabrizio-cacciatore,85605
Zlatan Ibrahimović,zlatan-ibrahimovic,3455
Matthias Lehmann,matthias-lehmann,1126
Mykyta Shevchenko,mykyta-shevchenko,80312
Delvin N'Dinga,delvin-ndinga,77835
Simone Verdi,simone-verdi,130360
Jairo,jairo,315310
Matías Britos,matias-britos,139430
Néstor Ortigoza,nestor-ortigoza,26726
Peter Crouch,peter-crouch,4072
Yohan Mollo,yohan-mollo,60570
Benjamin André,benjamin-andre,84301
Marko Rog,marko-rog,317482
Martín Demichelis,martin-demichelis,2963
Diego Reyes,diego-reyes,131090
Hamari Traoré,hamari-traore,297070
Emiliano Sala,emiliano-sala,190780
Juan Mata,juan-mata,44068
Jean Beausejour,jean-beausejour,18871
Andreas Johansson,andreas-johansson,15209
Jens Toornstra,jens-toornstra,134999
Sebastian Rudy,sebastian-rudy,57051
Rodrigo Battaglia,rodrigo-battaglia,89297
Antonio Ríos,antonio-rios,103402
Ibai Gómez,ibai-gomez,127837
Rubén Castro,ruben-castro,25316
Enzo Crivelli,enzo-crivelli,291110
Fernando Gago,fernando-gago,38954
Alan Ruiz,alan-ruiz,190442
Ezequiel Cerutti,ezequiel-cerutti,267882
Aaron Ramsey,aaron-ramsey,50057
Breel Embolo,breel-embolo,237662
Simon Zoller,simon-zoller,79967
Damir Kreilach,damir-kreilach,68884
Bruno Gaspar,bruno-gaspar,230457
Simone Pepe,simone-pepe,17249
Johannes Hopf,johannes-hopf,110941
Maxime Lopez,maxime-lopez,290862
Renato Sanches,renato-sanches,258027
Scott Sinclair,scott-sinclair,31552
Winston Reid,winston-reid,37526
Francesco Magnanelli,francesco-magnanelli,7093
Tim Krul,tim-krul,33027
Sébastien Corchia,sebastien-corchia,102744
Aaron Lennon,aaron-lennon,14221
Emre Belözoğlu,emre-belozoglu,5782
Gerónimo Rulli,geronimo-rulli,229604
Papy Djilobodji,papy-djilobodji,136610
Joe Hart,joe-hart,40204
Lucas Viatri,lucas-viatri,74693
Wallace,wallace,225335
Mohamed Larbi,mohamed-larbi,138949
Fernando Uribe,fernando-uribe,119030
Rodrigo,rodrigo,131505
Cristian Tello,cristian-tello,141834
João Mário,joao-mario,149729
Ciaran Clark,ciaran-clark,98240
Benjamin Stambouli,benjamin-stambouli,127160
Joselu,joselu,81999
Patrick Herrmann,patrick-herrmann,32711
Younousse Sankharé,younousse-sankhare,55409
Ömer Ali Şahiner,omer-ali-sahiner,110695
Johannes Geis,johannes-geis,89650
Michael Carrick,michael-carrick,3878
Lucas Leiva,lucas-leiva,41414
Phil Jones,phil-jones,117996
Edgar Méndez,edgar-mendez,133794
Leandro Castellanos,leandro-castellanos,73346
Tolgay Arslan,tolgay-arslan,53536
André Geraldes,andre-geraldes,154319
Maarten Stekelenburg,maarten-stekelenburg,4311
Christian Kabasele,christian-kabasele,81512
Jonathan Delaplace,jonathan-delaplace,149551
Raphinha,raphinha,411295
Marcos Angeleri,marcos-angeleri,27448
Hugo Lloris,hugo-lloris,17965
Sebastián Driussi,sebastian-driussi,294853
Diogo Jota,diogo-jota,340950
Yohan Benalouane,yohan-benalouane,50477
Gonzalo Higuaín,gonzalo-higuain,39153
Dario Dainelli,dario-dainelli,5970
Ryad Boudebouz,ryad-boudebouz,77826
Bruno Varela,bruno-varela,182722
Raul García,raul-garcia,1102983
Mato Jajalo,mato-jajalo,47513
Kengo Nakamura,kengo-nakamura,61888
Alfred Duncan,alfred-duncan,184894
Alberto Aquilani,alberto-aquilani,5957
Burak Yılmaz,burak-yilmaz,34987
Emmanuel Gigliotti,emmanuel-gigliotti,87365
David Silva,david-silva,35518
Corentin Tolisso,corentin-tolisso,190393
