Name,Query,TransfermarktId
Federico Higuaín,federico-higuain,45612
Quaresma,quaresma,530032
Ola Kamara,ola-kamara,62067
Marco Asensio,marco-asensio,296622
Michael de Leeuw,michael-de-leeuw,110906
Portu,portu,99353
Walter González,walter-gonzalez,353047
Oswaldo Vizcarrondo,oswaldo-vizcarrondo,55237
Andrew Robertson,andrew-robertson,234803
Motaz Hawsawi,motaz-hawsawi,193169
David Abraham,david-abraham,58178
Alaixys Romao,alaixys-romao,40014
Sebastian Rode,sebastian-rode,44466
Seydou Doumbia,seydou-doumbia,75287
Andrea Bertolacci,andrea-bertolacci,99227
Vladimír Darida,vladimir-darida,179643
Tom Cleverley,tom-cleverley,73484
Joel Matip,joel-matip,82105
Emiliano Insúa,emiliano-insua,45599
Yassin Ayoub,yassin-ayoub,182573
Felipe,felipe,156501
Laurent Koscielny,laurent-koscielny,76277
Keagan Dolly,keagan-dolly,234006
Antonio Barreca,antonio-barreca,241889
Danny Welbeck,danny-welbeck,67063
Kieran Gibbs,kieran-gibbs,44792
Thulani Hlatshwayo,thulani-hlatshwayo,124391
Achraf Lazaar,achraf-lazaar,139173
Juraj Kucka,juraj-kucka,74943
Juan Pablo Carrizo,juan-pablo-carrizo,39118
Romain Genevois,romain-genevois,57525
Yusuf Erdoğan,yusuf-erdogan,191391
Santiago García,santiago-garcia,102432
Carlos Martínez,carlos-martinez,58074
Fernando,fernando,51174
Toño,tono,35536
Benoît Poulain,benoit-poulain,80188
Franco Di Santo,franco-di-santo,59783
Jamie Vardy,jamie-vardy,197838
Leonardo Ponzio,leonardo-ponzio,7987
Ricardo Pereira,ricardo-pereira,215876
Marcel Halstenberg,marcel-halstenberg,70243
Fabian Frei,fabian-frei,52595
Simon Mignolet,simon-mignolet,50219
Warner Hahn,warner-hahn,111180
Anthony Martial,anthony-martial,182877
Alejandro Bedoya,alejandro-bedoya,111783
Ryan Shawcross,ryan-shawcross,45861
Khouma Babacar,khouma-babacar,124902
Jefferson,jefferson,74550
Adam Maher,adam-maher,122421
Nabil Dirar,nabil-dirar,42267
Wes Morgan,wes-morgan,10003
Óliver Torres,oliver-torres,214775
Johan Djourou,johan-djourou,34561
Iván Marcone,ivan-marcone,90451
Mauricio Lemos,mauricio-lemos,303140
Etrit Berisha,etrit-berisha,77825
Walter Gargano,walter-gargano,52266
Lucas Ocampos,lucas-ocampos,189441
Jhon Córdoba,jhon-cordoba,185245
Federico Peluso,federico-peluso,21763
Fernando Tobio,fernando-tobio,69802
Anwar El Ghazi,anwar-el-ghazi,183720
Kaká,kaka,3366
Jérôme Roussillon,jerome-roussillon,127076
James Ward-Prowse,james-ward-prowse,181579
Kurt Zouma,kurt-zouma,157509
Emiliano Viviano,emiliano-viviano,24316
Birkir Bjarnason,birkir-bjarnason,34453
Adnan Januzaj,adnan-januzaj,177847
Thiago Motta,thiago-motta,7602
Philipp Lahm,philipp-lahm,2219
Víctor Álvarez,victor-alvarez,99355
Ganso,ganso,67920
Léonard Kweuke,leonard-kweuke,80697
Kalidou Koulibaly,kalidou-koulibaly,93128
Rodolfo Pizarro,rodolfo-pizarro,234918
Per Mertesacker,per-mertesacker,6710
Federico Santander,federico-santander,99180
Diego López,diego-lopez,34370
Nicolai Müller,nicolai-muller,39426
Daniel Ayala,daniel-ayala,78966
Chris Wood,chris-wood,108725
Sebastian Giovinco,sebastian-giovinco,52312
James Forrest,james-forrest,84992
Stefano Sturaro,stefano-sturaro,167859
Diego Laxalt,diego-laxalt,230552
Kristoffer Nordfeldt,kristoffer-nordfeldt,75890
Alberto Moreno,alberto-moreno,207917
Volkan Şen,volkan-sen,56386
Alex Iwobi,alex-iwobi,242631
Julian Schieber,julian-schieber,58124
Nelson Acevedo,nelson-acevedo,125184
Pepe,pepe,14132
Dmitriy Kombarov,dmitriy-kombarov,38782
Damián Suárez,damian-suarez,76746
Gustavo Bou,gustavo-bou,71608
Thomas Heurtaux,thomas-heurtaux,109598
Federico Fazio,federico-fazio,45314
Ángel Correa,angel-correa,266807
Dani García,dani-garcia,7608
Presnel Kimpembe,presnel-kimpembe,282041
Benjamin Lecomte,benjamin-lecomte,127181
Andrea Belotti,andrea-belotti,167727
Dani Hernández,dani-hernandez,88528
Sébastien Squillaci,sebastien-squillaci,5293
Douglão,douglao,55255
Alfonso González,alfonso-gonzalez,962115
Albano Bizzarri,albano-bizzarri,7797
Michael Dawson,michael-dawson,9988
Salomón Rondón,salomon-rondon,80197
Moi Gómez,moi-gomez,175449
Darko Lazović,darko-lazovic,70411
Iago Herrerín,iago-herrerin,71570
John Brooks,john-brooks,124732
Luiz Gustavo,luiz-gustavo,10471
James McClean,james-mcclean,85935
Diego Demme,diego-demme,82070
Oliver Baumann,oliver-baumann,55089
Liam Bridcutt,liam-bridcutt,40612
Stefan Johansen,stefan-johansen,62008
Valon Berisha,valon-berisha,145115
Änis Ben-Hatira,anis-ben-hatira,35872
Gonzalo Castro,gonzalo-castro,28947
Jonathan Viera,jonathan-viera,153238
Fidel,fidel,149231
Sergio Padt,sergio-padt,79573
Silviu Lung Jr.,silviu-lung-jr-,73731
Falcao,falcao,1187519
James McCarthy,james-mccarthy,45333
Leighton Baines,leighton-baines,13507
Luca Rizzo,luca-rizzo,167895
Pedro Morales,pedro-morales,75314
Daniel Ginczek,daniel-ginczek,79501
Gökhan Gönül,gokhan-gonul,33793
Seko Fofana,seko-fofana,182893
Diego Valdés,diego-valdes,249776
Adrien Silva,adrien-silva,56810
Raheem Sterling,raheem-sterling,134425
Pascal Groß,pascal-gross,82873
Paulinho,paulinho,57229
Bernd Leno,bernd-leno,72476
Kalifa Coulibaly,kalifa-coulibaly,184935
Russell Martin,russell-martin,67303
Eloy Room,eloy-room,79294
Mario Lemina,mario-lemina,170934
Djibril Sidibé,djibril-sidibe,161869
Nathan Dyer,nathan-dyer,37011
Fabiano,fabiano,52848
Daniel Baier,daniel-baier,4018
Henrikh Mkhitaryan,henrikh-mkhitaryan,55735
Paolo Hurtado,paolo-hurtado,84318
Marcelo Martins,marcelo-martins,113604
André Silva,andre-silva,198008
Abel Aguilar,abel-aguilar,37388
Nacer Chadli,nacer-chadli,59631
Julian Draxler,julian-draxler,85148
Evandro,evandro,53359
Jimmy Durmaz,jimmy-durmaz,80205
David Simón,david-simon,228584
Maximiliano Meza,maximiliano-meza,610264
Pizzi,pizzi,64339
Pol Lirola,pol-lirola,298975
Marcel Schmelzer,marcel-schmelzer,35208
Jonas,jonas,50143
Youssouf Mulumbu,youssouf-mulumbu,45272
Karim Bellarabi,karim-bellarabi,61087
Marco Sau,marco-sau,55801
Sidnei,sidnei,27374
Coutinho,coutinho,268382
Salvador Agra,salvador-agra,155395
Rubén Pérez,ruben-perez,113045
Ricardo Horta,ricardo-horta,261927
Carlos Mané,carlos-mane,182711
David Ospina,david-ospina,73396
Mathieu Valbuena,mathieu-valbuena,40687
Younès Belhanda,younes-belhanda,118022
Joel Obi,joel-obi,45581
Miguel Rosa,miguel-rosa,58944
Marc Wilson,marc-wilson,30456
Ivan Radovanovic,ivan-radovanovic,46105
Kévin Gameiro,kevin-gameiro,27389
Ondrej Duda,ondrej-duda,232418
Luuk de Jong,luuk-de-jong,72522
Darío Lezcano,dario-lezcano,80031
Raúl,raul,7349
Volkan Babacan,volkan-babacan,52261
Georginio Wijnaldum,georginio-wijnaldum,49499
David Silva,david-silva,35518
Rémi Walter,remi-walter,215686
Mauricio Isla,mauricio-isla,43722
Nélson Semedo,nelson-semedo,231572
Adama Traoré,adama-traore,204103
Cássio,cassio,50144
Daniele Rugani,daniele-rugani,162959
Ashley Williams,ashley-williams,67355
Raphaël Guerreiro,raphael-guerreiro,170986
Sven Bender,sven-bender,29993
Samir Handanovič,samir-handanovic,28021
Palhinha,palhinha,310473
José Cañas,jose-canas,1171885
Ousmane Dembélé,ousmane-dembele,288230
Steve Birnbaum,steve-birnbaum,307728
Élton,elton,41052
Hernani,hernani,181768
Ander Herrera,ander-herrera,99343
André Gomes,andre-gomes,221025
Ivan Cavaleiro,ivan-cavaleiro,149716
Nicola Sansone,nicola-sansone,82048
Mario Gómez,mario-gomez,6288
Nabil El Zhar,nabil-el-zhar,37917
Ron-Robert Zieler,ron-robert-zieler,21327
Marcos Rojo,marcos-rojo,93176
Paolo Goltz,paolo-goltz,55183
Afriyie Acquah,afriyie-acquah,145581
Germán Lux,german-lux,19979
Ludovic Butelle,ludovic-butelle,12029
Vicente Gómez,vicente-gomez,153236
Nabil Fekir,nabil-fekir,203496
Pione Sisto,pione-sisto,252641
Mehmet Topal,mehmet-topal,44402
Daryl Janmaat,daryl-janmaat,60744
Fabinho,fabinho,225693
Jonathan Urretaviscaya,jonathan-urretaviscaya,74621
Nicolás Castillo,nicolas-castillo,145602
Milan Badelj,milan-badelj,40633
Vieirinha,vieirinha,35247
Agustín Marchesín,agustin-marchesin,54534
Laurens De Bock,laurens-de-bock,110668
Vasiliy Berezutskiy,vasiliy-berezutskiy,15362
Giovani dos Santos,giovani-dos-santos,44674
Munas Dabbur,munas-dabbur,145866
Bas Dost,bas-dost,56331
Siem de Jong,siem-de-jong,45509
Denis Alibec,denis-alibec,81396
Andrey Sinitsyn,andrey-sinitsyn,106196
Ricky van Wolfswinkel,ricky-van-wolfswinkel,41355
Luca Zuffi,luca-zuffi,59246
Guillaume Gillet,guillaume-gillet,31952
Darwin Machís,darwin-machis,211251
Sergiy Kryvtsov,sergiy-kryvtsov,74089
Lautaro Acosta,lautaro-acosta,45307
Gastón Pereiro,gaston-pereiro,264116
Danilo Pereira,danilo-pereira,141050
Ricardo Costa,ricardo-costa,9819
Afonso Figueiredo,afonso-figueiredo,237000
Vágner Love,vagner-love,18829
Toni Kroos,toni-kroos,31909
Moisés Muñoz,moises-munoz,54856
Darren Randolph,darren-randolph,51321
Scott Brown,scott-brown,12688
Loris Karius,loris-karius,85864
Derlis González,derlis-gonzalez,182577
Marcelo Díaz,marcelo-diaz,83895
Alexis Sánchez,alexis-sanchez,40433
Alexandru Maxim,alexandru-maxim,129513
Bastian Schweinsteiger,bastian-schweinsteiger,2514
Fredy Montero,fredy-montero,73852
Mariano,mariano,54155
Alhassan Wakaso,alhassan-wakaso,168536
Marc Muniesa,marc-muniesa,74228
Víctor Ruíz,victor-ruiz,427205
Lamine Koné,lamine-kone,57420
Raúl Ruidíaz,raul-ruidiaz,129724
William Carvalho,william-carvalho,100131
Dirk Kuyt,dirk-kuyt,4010
Fabian Johnson,fabian-johnson,31041
Yassine Benzia,yassine-benzia,187847
Wanderson,wanderson,236202
Miguel Veloso,miguel-veloso,43848
Yalçın Ayhan,yalcin-ayhan,7152
André Hahn,andre-hahn,42783
Vincent Kompany,vincent-kompany,9594
Ramazan Özcan,ramazan-ozcan,16498
Sergio Busquets,sergio-busquets,65230
Arturo Mina,arturo-mina,263628
Giuliano,giuliano,54375
Achille Emaná,achille-emana,7020
Carlos Izquierdoz,carlos-izquierdoz,116968
Douglas,douglas,58426
Saúl Berjón,saul-berjon,74954
Lucas Castro,lucas-castro,105892
Karol Linetty,karol-linetty,225873
Mauro Díaz,mauro-diaz,87845
Jordi Alba,jordi-alba,69751
Aaron Hunt,aaron-hunt,4687
Erik Lamela,erik-lamela,111630
Suso,suso,111961
Arthur Boka,arthur-boka,13038
Gary Cahill,gary-cahill,27511
William Vainqueur,william-vainqueur,47893
Santiago Vergini,santiago-vergini,94783
Deyverson,deyverson,243541
Alexander Scholz,alexander-scholz,153582
Christian Clemens,christian-clemens,44713
Manolo Gabbiadini,manolo-gabbiadini,112343
Roberto Firmino,roberto-firmino,131789
Guillermo Burdisso,guillermo-burdisso,104233
Carles Gil,carles-gil,127987
Jesé,jese,134936
Anders Christiansen,anders-christiansen,77259
Timo Letschert,timo-letschert,231378
Diogo Figueiras,diogo-figueiras,172181
Dani Ceballos,dani-ceballos,319745
Uğur Demirok,ugur-demirok,44977
Craig Gardner,craig-gardner,37171
Bart Ramselaar,bart-ramselaar,326701
Sebastián Blanco,sebastian-blanco,54576
Charly Musonda,charly-musonda,133801
Allan McGregor,allan-mcgregor,9422
Jota Peleteiro,jota-peleteiro,176591
Marc Stendera,marc-stendera,160943
Sebastián Torrico,sebastian-torrico,68040
Jan Kirchhoff,jan-kirchhoff,49734
Andrea Conti,andrea-conti,111227
Hernán Toledo,hernan-toledo,397896
Jérémy Pied,jeremy-pied,60583
Loïs Diony,lois-diony,126552
Adam Clayton,adam-clayton,73067
Renato Augusto,renato-augusto,53058
Nicolae Stanciu,nicolae-stanciu,148372
Oscar Wendt,oscar-wendt,19305
Jesús Dueñas,jesus-duenas,67646
Jores Okore,jores-okore,129085
Stefan de Vrij,stefan-de-vrij,111196
Selçuk İnan,selcuk-inan,35026
Pedro Henrique,pedro-henrique,164015
Dennis Praet,dennis-praet,129588
Franco Brienza,franco-brienza,16137
Valter Birsa,valter-birsa,26105
Jonas Hector,jonas-hector,108537
Robbie Kruse,robbie-kruse,51972
Adam Masina,adam-masina,286949
Viktor Kovalenko,viktor-kovalenko,203842
Marko Pjaca,marko-pjaca,205940
Raúl García,raul-garcia,34601
José Fonte,jose-fonte,33829
Richard Keogh,richard-keogh,47983
Youssouf Sabaly,youssouf-sabaly,135492
Lorenzo De Silvestri,lorenzo-de-silvestri,33571
Abdul Rahman Baba,abdul-rahman-baba,224884
